"Is.Non.Annual.","Days","Tuition","School.Type","Parent.Meeting.Flag","MDR.High.Grade","Income.Level","School.Sponsor","SPR.New.Existing","NumberOfMeetingswithParents","DifferenceTraveltoLastMeeting","SchoolGradeTypeHigh","FPP.to.School.enrollment","FPP.to.PAX","SchoolSizeIndicator","Retained.in.2012.","frp.active","cancellation","cancelled.PAX","fpp","trend"
0,1,424,"PUBLIC",1,5,"Q",1,"EXISTING",1,155,"Elementary",0.06364617,0.936507937,"L",1,0.423728813559322,0.12,0.0508474576271186,"large","0"
0,4,1428,"Private non-Christian",1,8,"K",0,"EXISTING",1,146,"Middle",0.103937008,0.916666667,"M-L",1,0.772727272727273,0.0196078431372549,0.0151515151515152,"large","0"
0,4,1750,"Private non-Christian",1,12,"Z",0,"EXISTING",1,139,"Undefined",0.051201672,0.924528302,"L",1,0.857142857142857,0.166666666666667,0.142857142857143,"large","0"
0,5,2025,"PUBLIC",1,8,"Q",0,"EXISTING",1,222,"Middle",0.0382263,0.925925926,"M-L",1,0.48,0.25,0.04,"safe","0"
0,5,1527,"CHD",1,5,"N",1,"EXISTING",1,249,"Middle",0.208955224,0.96,"",1,0.680555555555556,0.0816326530612245,0.0972222222222222,"large","0"
0,5,1699,"PUBLIC",1,8,"J",0,"EXISTING",1,235,"Middle",0.054834055,0.926829268,"M-L",1,0.5,0.105263157894737,0.0526315789473684,"large","0"
1,5,1999,"PUBLIC",1,12,"",0,"EXISTING",1,237,"Middle",0.022801303,0.888888889,"",1,0.46875,0,0,"safe","0"
0,5,865,"CHD",0,12,"P",0,"EXISTING",0,232,"Middle",0.073096447,0.837209302,"L",1,0,NA,0.0138888888888889,"large","0"
1,5,1799,"PUBLIC",1,6,"P",0,"EXISTING",1,236,"Middle",0.21656051,0.944444444,"S",0,0.367647058823529,0,0.0147058823529412,"large","0"
0,5,1844,"CHD",1,8,"Q",0,"EXISTING",1,237,"Middle",0.072916667,0.933333333,"S",1,0.785714285714286,0,0,"critical","0"
1,5,2056,"CHD",1,8,"I",0,"EXISTING",2,237,"Middle",0.028037383,0.75,"S",0,1,0.333333333333333,0.333333333333333,"small","0"
1,5,1849,"CHD",1,8,"Q",1,"EXISTING",1,237,"Middle",0.082524272,0.944444444,"S-M",0,0.647058823529412,0.136363636363636,0.147058823529412,"safe","0"
0,5,1929,"CHD",1,8,"L",0,"EXISTING",1,195,"Middle",0.096774194,0.891891892,"S-M",1,0.696969696969697,0,0.0303030303030303,"safe","0"
0,4,1445,"PUBLIC",1,9,"Q",0,"EXISTING",2,167,"High",0.070780399,0.939759036,"L",1,0.628205128205128,0.0612244897959184,0.0512820512820513,"large","0"
1,5,1829,"Private non-Christian",0,8,"P",0,"NEW",0,263,"Undefined",0.1,0.928571429,"S",0,0.384615384615385,0.4,0,"critical","0"
0,4,746,"PUBLIC",1,8,"L",0,"EXISTING",1,216,"Middle",0.158333333,0.926829268,"L",1,0.731578947368421,0.0935251798561151,0.0842105263157895,"large","1"
0,5,1499,"PUBLIC",0,8,"J",0,"EXISTING",0,273,"Middle",0.21,0.894736842,"",1,0.215686274509804,0.181818181818182,0.176470588235294,"large","0"
0,6,944,"PUBLIC",1,8,"E",0,"NEW",2,221,"Middle",0.041176471,0.913043478,"S-M",0,0.952380952380952,0.5,0.619047619047619,"safe","0"
0,6,909,"PUBLIC",0,8,"M",0,"EXISTING",0,250,"Middle",0.051724138,0.942857143,"M-L",0,0.181818181818182,0,0.0303030303030303,"safe","1"
0,6,775,"PUBLIC",1,8,"H",0,"EXISTING",1,242,"Middle",0.161290323,0.941558442,"L",1,0.696551724137931,0.277227722772277,0.255172413793103,"large","1"
0,6,1980,"CHD",1,8,"P",0,"EXISTING",1,229,"Middle",0.088339223,0.943396226,"S-M",1,0.5,0.2,0.12,"large","0"
0,6,2649,"CHD",1,8,"P",1,"EXISTING",2,216,"Middle",0.064102564,0.882352941,"S",1,0.533333333333333,0.5,0.4,"critical","0"
0,3,944,"PUBLIC",1,8,"A",0,"NEW",1,140,"Middle",0.068807339,0.9375,"M-L",1,0.777777777777778,0,0.133333333333333,"large","0"
0,4,1754,"PUBLIC",0,8,"G",0,"EXISTING",0,249,"Middle",0.007894737,0.857142857,"M-L",1,0.666666666666667,1.25,1.66666666666667,"small","0"
0,5,1229,"PUBLIC",1,9,"G",1,"EXISTING",1,157,"High",0.053846154,0.933333333,"M-L",1,0.642857142857143,0.148148148148148,0.0714285714285714,"large","0"
0,4,1452,"Private non-Christian",1,8,"E",0,"EXISTING",1,243,"Middle",0.090651558,0.888888889,"S-M",1,0.375,0.0833333333333333,0.03125,"safe","0"
0,4,802,"PUBLIC",1,8,"Q",0,"EXISTING",1,229,"Middle",0.305785124,0.928870293,"M-L",1,0.720720720720721,0.08125,0.0720720720720721,"large","0"
0,4,768,"PUBLIC",1,8,"M",0,"EXISTING",1,224,"Middle",0.048067861,0.910714286,"L",1,0.568627450980392,0.103448275862069,0.0980392156862745,"large","0"
